Issue key,Issue id,Parent id,Sprint,Sprint,Sprint,Sprint,Sprint,Sprint,Sprint
NCIS-256,415766,,,,,,,,
NCIS-257,415767,,,,,,,,
NCIS-258,415969,,NCIS Sprint 5,,,,,,
NCIS-259,416072,,NCIS Sprint 5,,,,,,
NCIS-260,416073,,NCIS Sprint 5,,,,,,
NCIS-261,416074,,NCIS Sprint 11,NCIS Sprint 12,NCIS Sprint 14,NCIS Sprint 15,NCIS Sprint 16,NCIS Sprint 17,NCIS Sprint 18
NCIS-262,416075,,NCIS Sprint 11,NCIS Sprint 12,NCIS Sprint 14,NCIS Sprint 15,NCIS Sprint 16,NCIS Sprint 17,NCIS Sprint 18
NCIS-264,416078,,NCIS Sprint 11,NCIS Sprint 12,NCIS Sprint 15,NCIS Sprint 16,,,
NCIS-265,416080,,,,,,,,
NCIS-266,416081,,,,,,,,
NCIS-267,416082,,NCIS Sprint 5,,,,,,
NCIS-268,416241,,NCIS Sprint 5,,,,,,
NCIS-269,416242,,NCIS Sprint 5,,,,,,
NCIS-270,418099,,,,,,,,
NCIS-271,418100,,,,,,,,
NCIS-272,418101,,,,,,,,
NCIS-273,418273,,,,,,,,
NCIS-274,418274,,NCIS Sprint 6,,,,,,
NCIS-275,418275,,NCIS Sprint 6,,,,,,
NCIS-276,418277,,NCIS Sprint 6,,,,,,
NCIS-277,474683,,NCIS Sprint 9,,,,,,
NCIS-278,474684,,NCIS Sprint 9,,,,,,
NCIS-279,474686,,NCIS Sprint 9,,,,,,
NCIS-280,474707,,NCIS Sprint 8,,,,,,
NCIS-281,474708,,NCIS Sprint 8,,,,,,
NCIS-282,476478,474708,NCIS Sprint 8,,,,,,
NCIS-283,476571,474707,NCIS Sprint 8,,,,,,
NCIS-284,476573,474707,NCIS Sprint 8,,,,,,
NCIS-285,477188,474708,NCIS Sprint 8,,,,,,
NCIS-286,477189,474708,NCIS Sprint 8,,,,,,
NCIS-287,477097,,NCIS Sprint 7,,,,,,
NCIS-288,477051,,NCIS Sprint 11,NCIS Sprint 12,,,,,
NCIS-289,477445,,NCIS Sprint 10,,,,,,
NCIS-290,477468,,,,,,,,
NCIS-297,477880,477468,,,,,,,
NCIS-298,477881,477468,,,,,,,
NCIS-299,477882,477468,,,,,,,
NCIS-300,477883,477468,,,,,,,
NCIS-301,477884,477468,,,,,,,
NCIS-302,477885,477468,,,,,,,
NCIS-310,483257,474707,NCIS Sprint 8,,,,,,
NCIS-311,485775,474708,NCIS Sprint 8,,,,,,
NCIS-312,485888,,NCIS Sprint 8,,,,,,
NCIS-313,485889,,NCIS Sprint 8,,,,,,
NCIS-314,486349,474707,NCIS Sprint 8,,,,,,
NCIS-315,488562,474707,NCIS Sprint 8,,,,,,
NCIS-316,498454,474707,NCIS Sprint 8,,,,,,
NCIS-317,498765,474708,NCIS Sprint 8,,,,,,
NCIS-318,499480,474708,NCIS Sprint 8,,,,,,
NCIS-319,502482,474708,NCIS Sprint 8,,,,,,
NCIS-320,615077,,NCIS Sprint 8,,,,,,
NCIS-321,615078,,NCIS Sprint 8,,,,,,
NCIS-322,616062,,,,,,,,
NCIS-323,616063,,NCIS Sprint 11,,,,,,
NCIS-324,616064,,NCIS Sprint 11,,,,,,
NCIS-325,616066,,NCIS Sprint 13,,,,,,
NCIS-326,616272,,NCIS Sprint 11,,,,,,
NCIS-327,616183,616066,NCIS Sprint 13,,,,,,
NCIS-328,616185,616066,NCIS Sprint 13,,,,,,
NCIS-330,622470,,NCIS Sprint 11,,,,,,
NCIS-331,623609,616066,NCIS Sprint 13,,,,,,
NCIS-333,624840,,NCIS Sprint 11,NCIS Sprint 12,NCIS Sprint 14,NCIS Sprint 15,,,
NCIS-334,625245,616066,NCIS Sprint 13,,,,,,
NCIS-335,626280,,NCIS Sprint 11,,,,,,
NCIS-337,629686,,,,,,,,
NCIS-342,629691,,,,,,,,
NCIS-349,629535,,NCIS Sprint 11,NCIS Sprint 12,NCIS Sprint 14,NCIS Sprint 15,,,
NCIS-350,629536,629535,NCIS Sprint 11,NCIS Sprint 12,NCIS Sprint 14,NCIS Sprint 15,,,
NCIS-351,630113,,,,,,,,
NCIS-352,630119,,,,,,,,
NCIS-353,630139,,,,,,,,
NCIS-354,630149,,,,,,,,
NCIS-356,631786,,,,,,,,
NCIS-357,631787,,,,,,,,
NCIS-358,631788,,,,,,,,
NCIS-359,631789,,,,,,,,
NCIS-360,634672,,,,,,,,
NCIS-361,634673,,,,,,,,
NCIS-362,634674,,,,,,,,
NCIS-363,634675,,,,,,,,
NCIS-364,634676,,,,,,,,
NCIS-365,634677,,,,,,,,
NCIS-366,635411,,,,,,,,
NCIS-367,635412,,,,,,,,
NCIS-368,635413,,,,,,,,
NCIS-369,635414,,,,,,,,
NCIS-370,635415,,,,,,,,
NCIS-371,635416,,,,,,,,
NCIS-372,635426,,,,,,,,
NCIS-373,635427,,,,,,,,
NCIS-374,635428,,,,,,,,
NCIS-375,635429,,,,,,,,
NCIS-376,635430,,,,,,,,
NCIS-377,635431,,,,,,,,
NCIS-378,637032,629535,NCIS Sprint 11,NCIS Sprint 12,NCIS Sprint 14,NCIS Sprint 15,,,
NCIS-379,637035,629535,NCIS Sprint 11,NCIS Sprint 12,NCIS Sprint 14,NCIS Sprint 15,,,
NCIS-380,637038,629535,NCIS Sprint 11,NCIS Sprint 12,NCIS Sprint 14,NCIS Sprint 15,,,
NCIS-381,637040,629535,NCIS Sprint 11,NCIS Sprint 12,NCIS Sprint 14,NCIS Sprint 15,,,
NCIS-383,637322,,,,,,,,
NCIS-384,637323,,,,,,,,
NCIS-385,637324,,,,,,,,
NCIS-386,637325,,,,,,,,
NCIS-389,637422,,NCIS Sprint 11,NCIS Sprint 12,,,,,
NCIS-390,639012,629535,NCIS Sprint 11,NCIS Sprint 12,NCIS Sprint 14,NCIS Sprint 15,,,
NCIS-391,639084,,NCIS Sprint 11,NCIS Sprint 12,NCIS Sprint 14,NCIS Sprint 15,,,
NCIS-392,639088,,NCIS Sprint 11,NCIS Sprint 12,NCIS Sprint 14,NCIS Sprint 15,,,
NCIS-393,639089,,NCIS Sprint 11,NCIS Sprint 14,NCIS Sprint 15,,,,
NCIS-394,639090,,NCIS Sprint 11,NCIS Sprint 14,NCIS Sprint 15,,,,
NCIS-395,639091,,,,,,,,
NCIS-396,639092,,NCIS Sprint 11,NCIS Sprint 14,NCIS Sprint 15,,,,
NCIS-397,639094,,NCIS Sprint 11,NCIS Sprint 12,NCIS Sprint 14,NCIS Sprint 15,,,
NCIS-398,639095,,NCIS Sprint 11,NCIS Sprint 12,NCIS Sprint 14,NCIS Sprint 15,,,
NCIS-399,639988,624840,NCIS Sprint 11,NCIS Sprint 12,NCIS Sprint 14,NCIS Sprint 15,,,
